"title","release_year","budget","revenue","rating","num_voted_users","profit_ratio"
"The Brothers McMullen",1995,25000,10246600,6.6,6375,409.864
"The Texas Chain Saw Massacre",1974,83532,30859000,7.5,96410,369.427285351721
"The Texas Chain Saw Massacre",1974,83532,30859000,7.5,96411,369.427285351721
"The Gallows",2015,100000,22757819,4.2,13521,227.57819
"Super Size Me",2004,65000,11529368,7.3,85028,177.374892307692
"Halloween",1978,300000,47000000,7.9,157857,156.666666666667
"Halloween",1978,300000,47000000,7.9,157857,156.666666666667
"Halloween",1978,300000,47000000,7.9,157863,156.666666666667
"American Graffiti",1973,777000,115000000,7.5,63839,148.005148005148
"Rocky",1976,960000,117235247,8.1,375240,122.120048958333
"In the Company of Men",1997,25000,2856622,7.3,11550,114.26488
"Napoleon Dynamite",2004,400000,44540956,6.9,161448,111.35239
"Facing the Giants",2006,100000,10174663,6.7,12399,101.74663
"Snow White and the Seven Dwarfs",1937,2000000,184925485,7.7,133348,92.4627425
"Benji",1974,500000,39552600,6.1,3411,79.1052
"My Date with Drew",2004,1100,85222,6.6,4285,77.4745454545454
"Fireproof",2008,500000,33451479,6.5,17068,66.902958
"Open Water",2003,500000,30500882,5.7,42256,61.001764
"Primer",2004,7000,424760,7,72639,60.68
"Pi",1998,60000,3216970,7.5,142619,53.6161666666667
"Slacker",1991,23000,1227508,7.1,15103,53.3699130434783
"The Devil Inside",2012,1000000,53245055,4.2,30570,53.245055
"Once",2007,180000,9437933,7.9,90827,52.4329611111111
"Hollywood Shuffle",1987,100000,5228617,7,2770,52.28617
"Gone with the Wind",1939,3977000,198655278,8.2,215340,49.9510379683178
"My Big Fat Greek Wedding",2002,5000000,241437427,6.6,102071,48.2874854
"Chasing Amy",1997,250000,12006514,7.3,114070,48.026056
"Animal House",1978,3000000,141600000,7.6,90177,47.2
"Blazing Saddles",1974,2600000,119500000,7.8,95294,45.9615384615385
"Saw",2004,1200000,55153403,7.7,299127,45.9611691666667
"Roger & Me",1989,160000,6706368,7.5,22800,41.9148
"Star Wars: Episode IV - A New Hope",1977,11000000,460935665,8.7,911097,41.9032422727273
"E.T. the Extra-Terrestrial",1982,10500000,434949459,7.9,281842,41.423758
"She's Gotta Have It",1986,175000,7137502,6.5,4769,40.7857257142857
"Psycho",1960,806947,32000000,8.5,422432,39.6556403332561
"Insidious",2010,1500000,53991137,6.8,202800,35.9940913333333
"Kingdom of the Spiders",1977,500000,17000000,5.9,3274,34
"Fantasia",1940,2280000,76400000,7.8,71321,33.5087719298246
"Jaws",1975,8000000,260000000,8,412454,32.5
"Pinocchio",1940,2600000,84300000,7.5,90360,32.4230769230769
"Unfriended",2014,1000000,31537320,5.7,44329,31.53732
"Young Frankenstein",1974,2800000,86300000,8,112671,30.8214285714286
"Sweet Sweetback's Baadasssss Song",1971,500000,15180000,5.5,3340,30.36
"Grease",1978,6000000,181360000,7.2,170027,30.2266666666667
"The Sting",1973,5500000,159600000,8.3,175607,29.0181818181818
"Paranormal Activity 2",2010,3000000,84749884,5.7,82133,28.2499613333333
"Sling Blade",1996,890000,24475416,8,72443,27.5004674157303
"The Crying Game",1992,2300000,62549000,7.3,41361,27.1952173913043
"Porky's",1981,4000000,105500000,6.2,31260,26.375
"The Exorcist",1973,8000000,204565000,8,284252,25.570625
"One Flew Over the Cuckoo's Nest",1975,4400000,112000000,8.7,680041,25.4545454545455
"Airplane!",1980,3500000,83400000,7.8,160281,23.8285714285714
"The Beast from 20,000 Fathoms",1953,210000,5000000,6.7,4812,23.8095238095238
"Flashdance",1983,4000000,94900000,6.1,35172,23.725
"Platoon",1986,6000000,137963328,8.1,291603,22.993888
"The Last Exorcism",2010,1800000,40990055,5.6,41509,22.7722527777778
